"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8FBFI6Y8","journalArticle","2020","Sher, Yonatan; Olm, Matthew R; Raveh-Sadka, Tali; Brown, Christopher T; Sher, Ruth; Firek, Brian; Baker, Robyn; Morowitz, Michael J; Banfield, Jillian F","Combined analysis of microbial metagenomic and metatranscriptomic sequencing data to assess in situ physiological conditions in the premature infant gut","Plos one","","1932-6203","10.1371/journal.pone.0229537","https://doi.org/10.1371/journal.pone.0229537","","2020-03-04","2020-06-23 00:34:12","2021-01-20 18:28:34","","e0229537","","3","15","","Plos one","","","","","","","","","","","","","","","Publisher: Public Library of Science San Francisco, CA USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARXN8CAZ","journalArticle","2020","West, Patrick T; Peters, Samantha L; Olm, Matthew R; Feiqiao, B Yu; Lou, Yue C; Firek, Brian A; Baker, Robyn; Johnson, Alexander D; Morowitz, Michael J; Hettich, Robert L","Genetic and behavioral adaptation of Candida parapsilosis to the microbiome of hospitalized infants revealed by in situ genomics, transcriptomics and proteomics","bioRxiv","","","https://doi.org/10.1101/2020.03.23.004093","https://doi.org/10.1101/2020.03.23.004093","","2020-03-25","2020-06-23 00:34:12","2021-01-20 18:28:19","","","","","","","bioRxiv","","","","","","","","","","","","","","","Publisher: Cold Spring Harbor Laboratory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HB2RMR5","journalArticle","2020","Crits-Christoph, Alexander; Olm, Matthew R; Diamond, Spencer; Bouma-Gregson, Keith; Banfield, Jillian F","Soil bacterial populations are shaped by recombination and gene-specific selection across a grassland meadow","The ISME Journal","","1751-7370","10.1038/s41396-020-0655-x","https://doi.org/10.1038/s41396-020-0655-x","","2020-04-23","2020-06-23 00:34:12","2021-01-20 18:27:54","","1-13","","","","","The ISME Journal","","","","","","","","","","","","","","","Publisher: Nature Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUZTWJ3Z","journalArticle","2020","Carnevali, Paula B Matheus; Lavy, Adi; Thomas, Alex D; Crits-Christoph, Alexander; Diamond, Spencer; Meéheust, Raphaeël; Olm, Matthew R; Sharrar, Allison; Lei, Shufei; Dong, Wenming","Meanders as a scaling motif for understanding of floodplain soil microbiome and biogeochemical potential at the watershed scale","bioRxiv","","","10.1101/2020.05.14.086363","https://doi.org/10.1101/2020.05.14.086363","","2020-05-15","2020-06-23 00:34:12","2021-01-20 18:27:26","","","","","","","bioRxiv","","","","","","","","","","","","","","","Publisher: Cold Spring Harbor Laboratory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N6L8QQ8Y","journalArticle","2021","Crits-Christoph, Alexander; Kantor, Rose S.; Olm, Matthew R.; Whitney, Oscar N.; Al-Shayeb, Basem; Lou, Yue Clare; Flamholz, Avi; Kennedy, Lauren C.; Greenwald, Hannah; Hinkle, Adrian; Hetzel, Jonathan; Spitzer, Sara; Koble, Jeffery; Tan, Asako; Hyde, Fred; Schroth, Gary; Kuersten, Scott; Banfield, Jillian F.; Nelson, Kara L.","Genome Sequencing of Sewage Detects Regionally Prevalent SARS-CoV-2 Variants","mBio","","","10.1128/mBio.02703-20","http://mbio.asm.org/content/12/1/e02703-20.abstract","Viral genome sequencing has guided our understanding of the spread and extent of genetic diversity of SARS-CoV-2 during the COVID-19 pandemic. SARS-CoV-2 viral genomes are usually sequenced from nasopharyngeal swabs of individual patients to track viral spread. Recently, RT-qPCR of municipal wastewater has been used to quantify the abundance of SARS-CoV-2 in several regions globally. However, metatranscriptomic sequencing of wastewater can be used to profile the viral genetic diversity across infected communities. Here, we sequenced RNA directly from sewage collected by municipal utility districts in the San Francisco Bay Area to generate complete and nearly complete SARS-CoV-2 genomes. The major consensus SARS-CoV-2 genotypes detected in the sewage were identical to clinical genomes from the region. Using a pipeline for single nucleotide variant calling in a metagenomic context, we characterized minor SARS-CoV-2 alleles in the wastewater and detected viral genotypes which were also found within clinical genomes throughout California. Observed wastewater variants were more similar to local California patient-derived genotypes than they were to those from other regions within the United States or globally. Additional variants detected in wastewater have only been identified in genomes from patients sampled outside California, indicating that wastewater sequencing can provide evidence for recent introductions of viral lineages before they are detected by local clinical sequencing. These results demonstrate that epidemiological surveillance through wastewater sequencing can aid in tracking exact viral strains in an epidemic context.","2021-02-23","2021-01-20 18:20:54","2021-01-20 18:20:54","","e02703-20","","1","12","","","","","","","","","","","","","","","","","","","","","","","Pettigrew, Melinda M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VNUUECX","journalArticle","2020","Crits-Christoph, Alexander; Bhattacharya, Nicholas; Olm, Matthew R.; Song, Yun S; Banfield, Jillian F","Transporter genes in biosynthetic gene clusters predict metabolite characteristics and siderophore activity","Genome Research","","","10.1101/gr.268169.120","http://genome.cshlp.org/content/early/2020/12/23/gr.268169.120.abstract","Biosynthetic gene clusters (BGCs) are operonic sets of microbial genes that synthesize specialized metabolites with diverse functions, including siderophores and antibiotics, which often require export to the extracellular environment. For this reason, genes for transport across cellular membranes are essential for the production of specialized metabolites, and are often genomically colocalized with BGCs. Here we conducted a comprehensive computational analysis of transporters associated with characterized BGCs. In addition to known exporters, in BGCs we found many importer-specific transmembrane domains that co-occur with substrate binding proteins possibly for uptake of siderophores or metabolic precursors. Machine learning models using transporter gene frequencies were predictive of known siderophore activity, molecular weights, and a measure of lipophilicity (log P) for corresponding BGC-synthesized metabolites. Transporter genes associated with BGCs were often equally or more predictive of metabolite features than biosynthetic genes. Given the importance of siderophores as pathogenicity factors, we used transporters specific for siderophore BGCs to identify both known and uncharacterized siderophore-like BGCs in genomes from metagenomes from the infant and adult gut microbiome. We find that 23% of microbial genomes from the infant gut have siderophore-like BGCs, but only 3% of those assembled from adult gut microbiomes do. While siderophore-like BGCs from the infant gut are predominantly associated with Enterobactericaee and Staphylococcus, siderophore-like BGCs can be identified from taxa in the adult gut microbiome that have rarely been recognized for siderophore production. Taken together, these results show that consideration of BGC-associated transporter genes can inform predictions of specialized metabolite structure and function.","2020-12-23","2021-01-20 18:16:05","2021-01-20 18:16:05","","","","","","","Genome Research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZCDZL3P","journalArticle","2021","Olm, Matthew R.; Crits-Christoph, Alexander; Bouma-Gregson, Keith; Firek, Brian A.; Morowitz, Michael J.; Banfield, Jillian F.","inStrain profiles population microdiversity from metagenomic data and sensitively detects shared microbial strains","Nature Biotechnology","","1546-1696","10.1038/s41587-020-00797-0","https://doi.org/10.1038/s41587-020-00797-0","Coexisting microbial cells of the same species often exhibit genetic variation that can affect phenotypes ranging from nutrient preference to pathogenicity. Here we present inStrain, a program that uses metagenomic paired reads to profile intra-population genetic diversity (microdiversity) across whole genomes and compares microbial populations in a microdiversity-aware manner, greatly increasing the accuracy of genomic comparisons when benchmarked against existing methods. We use inStrain to profile >1,000 fecal metagenomes from newborn premature infants and find that siblings share significantly more strains than unrelated infants, although identical twins share no more strains than fraternal siblings. Infants born by cesarean section harbor Klebsiella with significantly higher nucleotide diversity than infants delivered vaginally, potentially reflecting acquisition from hospital rather than maternal microbiomes. Genomic loci that show diversity in individual infants include variants found between other infants, possibly reflecting inoculation from diverse hospital-associated sources. inStrain can be applied to any metagenomic dataset for microdiversity analysis and rigorous strain comparison.","2021-01-18","2021-01-18 18:50:02","2021-01-18 18:50:02","","","","","","","Nature Biotechnology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSB4EZUG","journalArticle","2019","Olm, Matthew R; Bhattacharya, Nicholas; Crits-Christoph, Alexander; Firek, Brian A; Baker, Robyn; Song, Yun S; Morowitz, Michael J; Banfield, Jillian F","Necrotizing enterocolitis is preceded by increased gut bacterial replication, Klebsiella, and fimbriae-encoding bacteria","Science advances","","2375-2548","10.1126/sciadv.aax5727","https://advances.sciencemag.org/content/5/12/eaax5727","","2019-12-11","2020-02-15 00:48:36","2020-02-18 16:18:05","","eaax5727","","12","5","","Science advances","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VKRHXM6","journalArticle","2020","Olm, Matthew R; Crits-Christoph, Alexander; Diamond, Spencer; Lavy, Adi; Carnevali, Paula B Matheus; Banfield, Jillian F","Consistent Metagenome-Derived Metrics Verify and Delineate Bacterial Species Boundaries","mSystems","","2379-5077","10.1128/mSystems.00731-19","https://msystems.asm.org/content/5/1/e00731-19.abstract","","2020-02-25","2020-02-15 00:44:30","2020-02-18 16:17:33","","","","1","5","","mSystems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMTVK4NH","journalArticle","2020","Al-Shayeb, Basem; Sachdeva, Rohan; Chen, Lin-Xing; Ward, Fred; Munk, Patrick; Devoto, Audra; Castelle, Cindy J.; Olm, Matthew R.; Bouma-Gregson, Keith; Amano, Yuki; He, Christine; Méheust, Raphaël; Brooks, Brandon; Thomas, Alex; Lavy, Adi; Matheus-Carnevali, Paula; Sun, Christine; Goltsman, Daniela S. A.; Borton, Mikayla A.; Sharrar, Allison; Jaffe, Alexander L.; Nelson, Tara C.; Kantor, Rose; Keren, Ray; Lane, Katherine R.; Farag, Ibrahim F.; Lei, Shufei; Finstad, Kari; Amundson, Ronald; Anantharaman, Karthik; Zhou, Jinglie; Probst, Alexander J.; Power, Mary E.; Tringe, Susannah G.; Li, Wen-Jun; Wrighton, Kelly; Harrison, Sue; Morowitz, Michael; Relman, David A.; Doudna, Jennifer A.; Lehours, Anne-Catherine; Warren, Lesley; Cate, Jamie H. D.; Santini, Joanne M.; Banfield, Jillian F.","Clades of huge phages from across Earth’s ecosystems","Nature","","1476-4687","10.1038/s41586-020-2007-4","https://doi.org/10.1038/s41586-020-2007-4","Bacteriophages typically have small genomes1 and depend on their bacterial hosts for replication2. Here we sequenced DNA from diverse ecosystems and found hundreds of phage genomes with lengths of more than 200 kilobases (kb), including a genome of 735 kb, which is—to our knowledge—the largest phage genome to be described to date. Thirty-five genomes were manually curated to completion (circular and no gaps). Expanded genetic repertoires include diverse and previously undescribed CRISPR–Cas systems, transfer RNAs (tRNAs), tRNA synthetases, tRNA-modification enzymes, translation-initiation and elongation factors, and ribosomal proteins. The CRISPR–Cas systems of phages have the capacity to silence host transcription factors and translational genes, potentially as part of a larger interaction network that intercepts translation to redirect biosynthesis to phage-encoded functions. In addition, some phages may repurpose bacterial CRISPR–Cas systems to eliminate competing phages. We phylogenetically define the major clades of huge phages from human and other animal microbiomes, as well as from oceans, lakes, sediments, soils and the built environment. We conclude that the large gene inventories of huge phages reflect a conserved biological strategy, and that the phages are distributed across a broad bacterial host range and across Earth’s ecosystems.","2020-02-12","2020-02-15 00:47:04","2020-02-15 00:47:04","","","","","","","Nature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQ9GRXXL","journalArticle","2014","Pope, Welkin H.; Anders, Kirk R.; Baird, Madison; Bowman, Charles A.; Boyle, Michelle M.; Broussard, Gregory W.; Chow, Tiffany; Clase, Kari L.; Cooper, Shannon; Cornely, Kathleen A.; DeJong, Randall J.; Delesalle, Veronique A.; Deng, Lisa; Dunbar, David; Edgington, Nicholas P.; Ferreira, Christina M.; Hafer, Kathleen Weston; Hartzog, Grant A.; Hatherill, J. Robert; Hughes, Lee E.; Ipapo, Khristina; Krukonis, Greg P.; Meier, Christopher G.; Monti, Denise L.; Olm, Matthew R.; Page, Shallee T.; Peebles, Craig L.; Rinehart, Claire A.; Rubin, Michael R.; Russell, Daniel A.; Sanders, Erin R.; Schoer, Morgan; Shaffer, Christopher D.; Wherley, James; Vazquez, Edwin; Yuan, Han; Zhang, Daiyuan; Cresawn, Steven G.; Jacobs-Sera, Deborah; Hendrix, Roger W.; Hatfull, Graham F.","Cluster M Mycobacteriophages Bongo, PegLeg, and Rey with Unusually Large Repertoires of tRNA Isotypes","Journal of Virology","","0022-538X, 1098-5514","10.1128/JVI.03363-13","https://jvi.asm.org/content/88/5/2461","Genomic analysis of a large set of phages infecting the common host Mycobacterium smegmatis mc2155 shows that they span considerable genetic diversity. There are more than 20 distinct types that lack nucleotide similarity with each other, and there is considerable diversity within most of the groups. Three newly isolated temperate mycobacteriophages, Bongo, PegLeg, and Rey, constitute a new group (cluster M), with the closely related phages Bongo and PegLeg forming subcluster M1 and the more distantly related Rey forming subcluster M2. The cluster M mycobacteriophages have siphoviral morphologies with unusually long tails, are homoimmune, and have larger than average genomes (80.2 to 83.7 kbp). They exhibit a variety of features not previously described in other mycobacteriophages, including noncanonical genome architectures and several unusual sets of conserved repeated sequences suggesting novel regulatory systems for both transcription and translation. In addition to containing transfer-messenger RNA and RtcB-like RNA ligase genes, their genomes encode 21 to 24 tRNA genes encompassing complete or nearly complete sets of isotypes. We predict that these tRNAs are used in late lytic growth, likely compensating for the degradation or inadequacy of host tRNAs. They may represent a complete set of tRNAs necessary for late lytic growth, especially when taken together with the apparent lack of codons in the same late genes that correspond to tRNAs that the genomes of the phages do not obviously encode. IMPORTANCE The bacteriophage population is vast, dynamic, and old and plays a central role in bacterial pathogenicity. We know surprisingly little about the genetic diversity of the phage population, although metagenomic and phage genome sequencing indicates that it is great. Probing the depth of genetic diversity of phages of a common host, Mycobacterium smegmatis, provides a higher resolution of the phage population and how it has evolved. Three new phages constituting a new cluster M further expand the diversity of the mycobacteriophages and introduce novel features. As such, they provide insights into phage genome architecture, virion structure, and gene regulation at the transcriptional and translational levels.","2014-03-01","2018-06-05 16:50:14","2021-03-15 20:48:42","2019-06-07 11:58:36","2461-2480","","5","88","","","","","","","","","","en","Copyright © 2014, American Society for Microbiology. All Rights Reserved.","","","","jvi.asm.org","","PMID: 24335314","","/Users/mattolm/Zotero/storage/FWJW44UX/2461.html; ; /Users/mattolm/Zotero/storage/QW9B6J9Q/Pope et al_2014_Cluster M Mycobacteriophages Bongo, PegLeg, and Rey with Unusually Large.pdf","http://www.ncbi.nlm.nih.gov/pubmed/24335314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCJK2BC6","journalArticle","2016","Dedrick, Rebekah M.; Mavrich, Travis N.; Ng, Wei L.; Reyes, Juan C. Cervantes; Olm, Matthew R.; Rush, Rachael E.; Jacobs‐Sera, Deborah; Russell, Daniel A.; Hatfull, Graham F.","Function, expression, specificity, diversity and incompatibility of actinobacteriophage parABS systems","Molecular Microbiology","","1365-2958","10.1111/mmi.13414","https://onlinelibrary.wiley.com/doi/abs/10.1111/mmi.13414","More than 180 individual phages infecting hosts in the phylum Actinobacteria have been sequenced and grouped into Cluster A because of their similar overall nucleotide sequences and genome architectures. These Cluster A phages are either temperate or derivatives of temperate parents, and most have an integration cassette near the centre of the genome containing an integrase gene and attP. However, about 20% of the phages lack an integration cassette, which is replaced by a 1.4 kbp segment with predicted partitioning functions, including plasmid-like parA and parB genes. Phage RedRock forms stable lysogens in Mycobacterium smegmatis in which the prophage replicates at 2.4 copies/chromosome and the partitioning system confers prophage maintenance. The parAB genes are expressed upon RedRock infection of M. smegmatis, but are downregulated once lysogeny is established by binding of RedRock ParB to parS-L, one of two centromere-like sites flanking the parAB genes. The RedRock parS-L and parS-R sites are composed of eight directly repeated copies of an 8 bp motif that is recognized by ParB. The actinobacteriophage parABS cassettes span considerable sequence diversity and specificity, providing a suite of tools for use in mycobacterial genetics.","2016-05-05","2019-06-07 11:58:13","2019-06-07 11:58:32","2019-06-07 11:58:13","625-644","","4","101","","","","","","","","","","en","© 2016 John Wiley & Sons Ltd","","","","Wiley Online Library","","","","/Users/mattolm/Zotero/storage/VJ7RLI6M/Dedrick et al_2016_Function, expression, specificity, diversity and incompatibility of.pdf; /Users/mattolm/Zotero/storage/V8WDIKTV/mmi.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNJI4YQN","journalArticle","2017","Brown, Christopher T.; Olm, Matthew R.; Thomas, Brian C.; Banfield, Jillian F.","Measurement of bacterial replication rates in microbial communities","Nature Biotechnology","","1546-1696","10.1038/nbt.3704","https://www.nature.com/articles/nbt.3704","Culture-independent microbiome studies have increased our understanding of the complexity and metabolic potential of microbial communities. However, to understand the contribution of individual microbiome members to community functions, it is important to determine which bacteria are actively replicating. We developed an algorithm, iRep, that uses draft-quality genome sequences and single time-point metagenome sequencing to infer microbial population replication rates. The algorithm calculates an index of replication (iRep) based on the sequencing coverage trend that results from bi-directional genome replication from a single origin of replication. We apply this method to show that microbial replication rates increase after antibiotic administration in human infants. We also show that uncultivated, groundwater-associated, Candidate Phyla Radiation bacteria only rarely replicate quickly in subsurface communities undergoing substantial changes in geochemistry. Our method can be applied to any genome-resolved microbiome study to track organism responses to varying conditions, identify actively growing populations and measure replication rates for use in modeling studies.","2017-11-07","2019-04-23 01:48:21","2021-03-15 20:48:07","2019-06-07 11:57:44","1256-1263","","12","34","","","","","","","","","","en","2016 Nature Publishing Group","","","","www.nature.com","","","","/Users/mattolm/Zotero/storage/CKNLUEZW/Brown et al_2016_Measurement of bacterial replication rates in microbial communities.pdf; /Users/mattolm/Zotero/storage/SKYZ6EQS/nbt.html","","Zotero_April11_2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
